"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingGemeenteWijkBuurt_4";"AantalInwoners_5";"AantalPubliekeLaadpalen_61";"Omgevingsadressendichtheid_121"
"0";"NL00      ";"Nederland                               ";"Land      ";"NL00      ";".";"18044027";"       .";"    2077"
"1";"GM1680    ";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";"1";"   25935";"       .";"     285"
"2";"WK168000  ";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1";"    3600";"       .";"     395"
"3";"BU16800000";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1";"    3450";"       .";"     410"
"4";"BU16800009";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1";"     145";"       .";"      56"
"5";"WK168001  ";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1";"    1450";"       .";"     128"
"6";"BU16800100";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1";"    1275";"       .";"     148"
"7";"BU16800109";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1";"     175";"       .";"      37"
"8";"WK168002  ";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1";"     390";"       .";"      60"
"9";"BU16800200";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1";"     325";"       .";"      58"
"10";"BU16800209";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1";"      65";"       .";"      71"
"11";"WK168003  ";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1";"     385";"       .";"      54"
"12";"BU16800300";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1";"     370";"       .";"      55"
"13";"BU16800309";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1";"      15";"       .";"      24"
"14";"WK168004  ";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1";"     240";"       .";"      32"
"15";"BU16800400";"Aa en Hunze                             ";"Buurt     ";"BU16800400";"1";"     215";"       .";"      34"
"16";"BU16800409";"Aa en Hunze                             ";"Buurt     ";"BU16800409";"1";"      30";"       .";"      15"
"17";"WK168005  ";"Aa en Hunze                             ";"Wijk      ";"WK168005  ";"1";"     610";"       .";"     209"
"18";"BU16800500";"Aa en Hunze                             ";"Buurt     ";"BU16800500";"1";"     555";"       .";"     212"
"19";"BU16800509";"Aa en Hunze                             ";"Buurt     ";"BU16800509";"1";"      55";"       .";"     185"
"20";"WK168006  ";"Aa en Hunze                             ";"Wijk      ";"WK168006  ";"1";"     470";"       .";"      43"
"21";"BU16800600";"Aa en Hunze                             ";"Buurt     ";"BU16800600";"1";"     450";"       .";"      44"
"22";"BU16800609";"Aa en Hunze                             ";"Buurt     ";"BU16800609";"1";"      25";"       .";"      27"
"23";"WK168007  ";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1";"     150";"       .";"      34"
"24";"BU16800700";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1";"     150";"       .";"      34"
"25";"BU16800709";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1";"       0";"       .";"       ."
"26";"WK168008  ";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1";"     110";"       .";"      20"
"27";"BU16800800";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1";"      95";"       .";"      21"
"28";"BU16800809";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1";"      10";"       .";"      15"
"29";"WK168009  ";"Aa en Hunze                             ";"Wijk      ";"WK168009  ";"1";"     115";"       .";"      28"
"30";"BU16800900";"Aa en Hunze                             ";"Buurt     ";"BU16800900";"1";"     110";"       .";"      28"
"31";"BU16800909";"Aa en Hunze                             ";"Buurt     ";"BU16800909";"1";"       5";"       .";"      24"
"32";"WK168011  ";"Aa en Hunze                             ";"Wijk      ";"WK168011  ";"1";"     400";"       .";"      40"
"33";"BU16801100";"Aa en Hunze                             ";"Buurt     ";"BU16801100";"1";"     395";"       .";"      40"
"34";"BU16801109";"Aa en Hunze                             ";"Buurt     ";"BU16801109";"1";"       5";"       .";"      27"
"35";"WK168012  ";"Aa en Hunze                             ";"Wijk      ";"WK168012  ";"1";"     245";"       .";"     114"
"36";"BU16801200";"Aa en Hunze                             ";"Buurt     ";"BU16801200";"1";"     235";"       .";"     101"
"37";"BU16801209";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1";"      10";"       .";"     130"
"38";"WK168013  ";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1";"     120";"       .";"      19"
"39";"BU16801300";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1";"      90";"       .";"      20"
"40";"BU16801309";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1";"      30";"       .";"      17"
"41";"WK168014  ";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1";"    1865";"       .";"     158"
"42";"BU16801400";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1";"    1540";"       .";"     207"
"43";"BU16801401";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1";"     130";"       .";"      50"
"44";"BU16801409";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1";"     195";"       .";"      66"
"45";"WK168015  ";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1";"    1885";"       .";"     222"
"46";"BU16801500";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1";"    1835";"       .";"     226"
"47";"BU16801501";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1";"      40";"       .";"      43"
"48";"BU16801509";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1";"       0";"       .";"       ."
"49";"WK168016  ";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1";"     665";"       .";"     120"
"50";"BU16801600";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1";"     625";"       .";"     126"
"51";"BU16801601";"Aa en Hunze                             ";"Buurt     ";"BU16801601";"1";"      35";"       .";"      19"
"52";"BU16801609";"Aa en Hunze                             ";"Buurt     ";"BU16801609";"1";"      10";"       .";"      64"
"53";"WK168017  ";"Aa en Hunze                             ";"Wijk      ";"WK168017  ";"1";"    4980";"       .";"     505"
"54";"BU16801700";"Aa en Hunze                             ";"Buurt     ";"BU16801700";"1";"    4780";"       .";"     521"
"55";"BU16801709";"Aa en Hunze                             ";"Buurt     ";"BU16801709";"1";"     200";"       .";"      41"
"56";"WK168018  ";"Aa en Hunze                             ";"Wijk      ";"WK168018  ";"1";"    1235";"       .";"      77"
"57";"BU16801800";"Aa en Hunze                             ";"Buurt     ";"BU16801800";"1";"     675";"       .";"     100"
"58";"BU16801801";"Aa en Hunze                             ";"Buurt     ";"BU16801801";"1";"     105";"       .";"      19"
"59";"BU16801802";"Aa en Hunze                             ";"Buurt     ";"BU16801802";"1";"     260";"       .";"      74"
"60";"BU16801809";"Aa en Hunze                             ";"Buurt     ";"BU16801809";"1";"     185";"       .";"      38"
"61";"WK168019  ";"Aa en Hunze                             ";"Wijk      ";"WK168019  ";"1";"    5025";"       .";"     376"
"62";"BU16801900";"Aa en Hunze                             ";"Buurt     ";"BU16801900";"1";"    3695";"       .";"     462"
"63";"BU16801901";"Aa en Hunze                             ";"Buurt     ";"BU16801901";"1";"     160";"       .";"      48"
"64";"BU16801902";"Aa en Hunze                             ";"Buurt     ";"BU16801902";"1";"      65";"       .";"      12"
"65";"BU16801903";"Aa en Hunze                             ";"Buurt     ";"BU16801903";"1";"      85";"       .";"      13"
"66";"BU16801908";"Aa en Hunze                             ";"Buurt     ";"BU16801908";"1";"     865";"       .";"     258"
"67";"BU16801909";"Aa en Hunze                             ";"Buurt     ";"BU16801909";"1";"     155";"       .";"     153"
"68";"WK168020  ";"Aa en Hunze                             ";"Wijk      ";"WK168020  ";"1";"    1470";"       .";"      60"
"69";"BU16802000";"Aa en Hunze                             ";"Buurt     ";"BU16802000";"1";"     625";"       .";"      97"
"70";"BU16802001";"Aa en Hunze                             ";"Buurt     ";"BU16802001";"1";"     185";"       .";"      29"
"71";"BU16802008";"Aa en Hunze                             ";"Buurt     ";"BU16802008";"1";"     430";"       .";"      13"
"72";"BU16802009";"Aa en Hunze                             ";"Buurt     ";"BU16802009";"1";"     230";"       .";"      44"
"73";"WK168021  ";"Aa en Hunze                             ";"Wijk      ";"WK168021  ";"1";"     535";"       .";"      28"
"74";"BU16802100";"Aa en Hunze                             ";"Buurt     ";"BU16802100";"1";"     275";"       .";"      40"
"75";"BU16802101";"Aa en Hunze                             ";"Buurt     ";"BU16802101";"1";"     105";"       .";"      18"
"76";"BU16802109";"Aa en Hunze                             ";"Buurt     ";"BU16802109";"1";"     155";"       .";"      11"
"77";"GM0358    ";"Aalsmeer                                ";"Gemeente  ";"GM0358    ";"1";"   33250";"       .";"     982"
"78";"WK035800  ";"Aalsmeer                                ";"Wijk      ";"WK035800  ";"1";"   13555";"       .";"    1105"
"79";"BU03580000";"Aalsmeer                                ";"Buurt     ";"BU03580000";"1";"    2945";"       .";"    1158"
"80";"BU03580001";"Aalsmeer                                ";"Buurt     ";"BU03580001";"1";"    6965";"       .";"    1318"
"81";"BU03580004";"Aalsmeer                                ";"Buurt     ";"BU03580004";"1";"    2785";"       .";"     771"
"82";"BU03580005";"Aalsmeer                                ";"Buurt     ";"BU03580005";"1";"     860";"       .";"     618"
"83";"WK035801  ";"Aalsmeer                                ";"Wijk      ";"WK035801  ";"1";"    9305";"       .";"     831"
"84";"BU03580100";"Aalsmeer                                ";"Buurt     ";"BU03580100";"1";"    9305";"       .";"     831"
"85";"WK035802  ";"Aalsmeer                                ";"Wijk      ";"WK035802  ";"1";"   10390";"       .";"     919"
"86";"BU03580200";"Aalsmeer                                ";"Buurt     ";"BU03580200";"1";"     940";"       .";"     642"
"87";"BU03580201";"Aalsmeer                                ";"Buurt     ";"BU03580201";"1";"    1225";"       .";"     566"
"88";"BU03580205";"Aalsmeer                                ";"Buurt     ";"BU03580205";"1";"    7760";"       .";"    1076"
"89";"BU03580206";"Aalsmeer                                ";"Buurt     ";"BU03580206";"1";"     465";"       .";"     492"
"90";"GM0197    ";"Aalten                                  ";"Gemeente  ";"GM0197    ";"1";"   27466";"       .";"     791"
"91";"WK019701  ";"Aalten                                  ";"Wijk      ";"WK019701  ";"1";"    4050";"       .";"     107"
"92";"BU01970101";"Aalten                                  ";"Buurt     ";"BU01970101";"1";"     110";"       .";"      41"
"93";"BU01970102";"Aalten                                  ";"Buurt     ";"BU01970102";"1";"     460";"       .";"      33"
"94";"BU01970103";"Aalten                                  ";"Buurt     ";"BU01970103";"1";"     355";"       .";"     129"
"95";"BU01970104";"Aalten                                  ";"Buurt     ";"BU01970104";"1";"     485";"       .";"      26"
"96";"BU01970105";"Aalten                                  ";"Buurt     ";"BU01970105";"1";"     150";"       .";"      39"
"97";"BU01970106";"Aalten                                  ";"Buurt     ";"BU01970106";"1";"     180";"       .";"      56"
"98";"BU01970107";"Aalten                                  ";"Buurt     ";"BU01970107";"1";"     255";"       .";"     133"
"99";"BU01970108";"Aalten                                  ";"Buurt     ";"BU01970108";"1";"     680";"       .";"      32"
"100";"BU01970109";"Aalten                                  ";"Buurt     ";"BU01970109";"1";"     100";"       .";"      27"
"101";"BU01970110";"Aalten                                  ";"Buurt     ";"BU01970110";"1";"     625";"       .";"     263"
"102";"BU01970111";"Aalten                                  ";"Buurt     ";"BU01970111";"1";"     545";"       .";"     150"
"103";"BU01970112";"Aalten                                  ";"Buurt     ";"BU01970112";"1";"      85";"       .";"      35"
"104";"WK019702  ";"Aalten                                  ";"Wijk      ";"WK019702  ";"1";"    1935";"       .";"     209"
"105";"BU01970201";"Aalten                                  ";"Buurt     ";"BU01970201";"1";"     215";"       .";"      76"
"106";"BU01970202";"Aalten                                  ";"Buurt     ";"BU01970202";"1";"     200";"       .";"     118"
"107";"BU01970203";"Aalten                                  ";"Buurt     ";"BU01970203";"1";"      80";"       .";"     148"
"108";"BU01970204";"Aalten                                  ";"Buurt     ";"BU01970204";"1";"    1440";"       .";"     242"
"109";"WK019703  ";"Aalten                                  ";"Wijk      ";"WK019703  ";"1";"   13145";"       .";"    1064"
"110";"BU01970301";"Aalten                                  ";"Buurt     ";"BU01970301";"1";"    2070";"       .";"     971"
"111";"BU01970302";"Aalten                                  ";"Buurt     ";"BU01970302";"1";"    2365";"       .";"    1016"
"112";"BU01970303";"Aalten                                  ";"Buurt     ";"BU01970303";"1";"    1485";"       .";"     747"
"113";"BU01970304";"Aalten                                  ";"Buurt     ";"BU01970304";"1";"    2810";"       .";"    1003"
"114";"BU01970305";"Aalten                                  ";"Buurt     ";"BU01970305";"1";"     995";"       .";"     460"
"115";"BU01970306";"Aalten                                  ";"Buurt     ";"BU01970306";"1";"    1100";"       .";"    1145"
"116";"BU01970307";"Aalten                                  ";"Buurt     ";"BU01970307";"1";"    2315";"       .";"    1451"
"117";"WK019704  ";"Aalten                                  ";"Wijk      ";"WK019704  ";"1";"    8330";"       .";"     802"
"118";"BU01970400";"Aalten                                  ";"Buurt     ";"BU01970400";"1";"    2885";"       .";"     980"
"119";"BU01970401";"Aalten                                  ";"Buurt     ";"BU01970401";"1";"    1740";"       .";"     923"
"120";"BU01970402";"Aalten                                  ";"Buurt     ";"BU01970402";"1";"    2385";"       .";"     793"
"121";"BU01970403";"Aalten                                  ";"Buurt     ";"BU01970403";"1";"     395";"       .";"      82"
"122";"BU01970408";"Aalten                                  ";"Buurt     ";"BU01970408";"1";"     275";"       .";"     359"
"123";"BU01970409";"Aalten                                  ";"Buurt     ";"BU01970409";"1";"     660";"       .";"      64"
"124";"GM0059    ";"Achtkarspelen                           ";"Gemeente  ";"GM0059    ";"1";"   28200";"       .";"     445"
"125";"WK005900  ";"Achtkarspelen                           ";"Wijk      ";"WK005900  ";"1";"   12150";"       .";"     413"
"126";"BU00590000";"Achtkarspelen                           ";"Buurt     ";"BU00590000";"1";"    5215";"       .";"     625"
"127";"BU00590001";"Achtkarspelen                           ";"Buurt     ";"BU00590001";"1";"    1045";"       .";"     118"
"128";"BU00590002";"Achtkarspelen                           ";"Buurt     ";"BU00590002";"1";"    2095";"       .";"     308"
"129";"BU00590003";"Achtkarspelen                           ";"Buurt     ";"BU00590003";"1";"    1605";"       .";"     331"
"130";"BU00590004";"Achtkarspelen                           ";"Buurt     ";"BU00590004";"1";"     725";"       .";"     143"
"131";"BU00590005";"Achtkarspelen                           ";"Buurt     ";"BU00590005";"1";"     710";"       .";"     254"
"132";"BU00590006";"Achtkarspelen                           ";"Buurt     ";"BU00590006";"1";"     100";"       .";"      80"
"133";"BU00590007";"Achtkarspelen                           ";"Buurt     ";"BU00590007";"1";"     360";"       .";"     102"
"134";"BU00590008";"Achtkarspelen                           ";"Buurt     ";"BU00590008";"1";"     225";"       .";"     105"
"135";"BU00590009";"Achtkarspelen                           ";"Buurt     ";"BU00590009";"1";"      70";"       .";"      45"
"136";"WK005901  ";"Achtkarspelen                           ";"Wijk      ";"WK005901  ";"1";"    3170";"       .";"     166"
"137";"BU00590100";"Achtkarspelen                           ";"Buurt     ";"BU00590100";"1";"     240";"       .";"     136"
"138";"BU00590102";"Achtkarspelen                           ";"Buurt     ";"BU00590102";"1";"    1445";"       .";"     216"
"139";"BU00590103";"Achtkarspelen                           ";"Buurt     ";"BU00590103";"1";"    1020";"       .";"     142"
"140";"BU00590107";"Achtkarspelen                           ";"Buurt     ";"BU00590107";"1";"      60";"       .";"      62"
"141";"BU00590108";"Achtkarspelen                           ";"Buurt     ";"BU00590108";"1";"     195";"       .";"     116"
"142";"BU00590109";"Achtkarspelen                           ";"Buurt     ";"BU00590109";"1";"     200";"       .";"      41"
"143";"WK005902  ";"Achtkarspelen                           ";"Wijk      ";"WK005902  ";"1";"   12880";"       .";"     537"
"144";"BU00590200";"Achtkarspelen                           ";"Buurt     ";"BU00590200";"1";"    5710";"       .";"     733"
"145";"BU00590201";"Achtkarspelen                           ";"Buurt     ";"BU00590201";"1";"    4030";"       .";"     496"
"146";"BU00590202";"Achtkarspelen                           ";"Buurt     ";"BU00590202";"1";"     845";"       .";"     115"
"147";"BU00590203";"Achtkarspelen                           ";"Buurt     ";"BU00590203";"1";"     755";"       .";"     174"
"148";"BU00590206";"Achtkarspelen                           ";"Buurt     ";"BU00590206";"1";"     405";"       .";"     301"
"149";"BU00590207";"Achtkarspelen                           ";"Buurt     ";"BU00590207";"1";"     300";"       .";"     159"
"150";"BU00590208";"Achtkarspelen                           ";"Buurt     ";"BU00590208";"1";"     385";"       .";"     113"
"151";"BU00590209";"Achtkarspelen                           ";"Buurt     ";"BU00590209";"1";"     450";"       .";"      98"
"152";"GM0482    ";"Alblasserdam                            ";"Gemeente  ";"GM0482    ";"1";"   20242";"       .";"    1529"
"153";"WK048201  ";"Alblasserdam                            ";"Wijk      ";"WK048201  ";"1";"    4935";"       .";"    1730"
"154";"BU04820101";"Alblasserdam                            ";"Buurt     ";"BU04820101";"1";"     975";"       .";"    1817"
"155";"BU04820102";"Alblasserdam                            ";"Buurt     ";"BU04820102";"1";"     645";"       .";"    1798"
"156";"BU04820103";"Alblasserdam                            ";"Buurt     ";"BU04820103";"1";"    1595";"       .";"    1919"
"157";"BU04820104";"Alblasserdam                            ";"Buurt     ";"BU04820104";"1";"     535";"       .";"    1222"
"158";"BU04820105";"Alblasserdam                            ";"Buurt     ";"BU04820105";"1";"    1185";"       .";"    1642"
"159";"WK048202  ";"Alblasserdam                            ";"Wijk      ";"WK048202  ";"1";"    3815";"       .";"     888"
"160";"BU04820201";"Alblasserdam                            ";"Buurt     ";"BU04820201";"1";"     600";"       .";"     756"
"161";"BU04820202";"Alblasserdam                            ";"Buurt     ";"BU04820202";"1";"    1220";"       .";"     819"
"162";"BU04820203";"Alblasserdam                            ";"Buurt     ";"BU04820203";"1";"     445";"       .";"    1360"
"163";"BU04820204";"Alblasserdam                            ";"Buurt     ";"BU04820204";"1";"      15";"       .";"    1448"
"164";"BU04820205";"Alblasserdam                            ";"Buurt     ";"BU04820205";"1";"     935";"       .";"     903"
"165";"BU04820206";"Alblasserdam                            ";"Buurt     ";"BU04820206";"1";"     600";"       .";"     774"
"166";"WK048203  ";"Alblasserdam                            ";"Wijk      ";"WK048203  ";"1";"    7360";"       .";"    1892"
"167";"BU04820301";"Alblasserdam                            ";"Buurt     ";"BU04820301";"1";"     890";"       .";"    1732"
"168";"BU04820302";"Alblasserdam                            ";"Buurt     ";"BU04820302";"1";"     565";"       .";"    1852"
"169";"BU04820303";"Alblasserdam                            ";"Buurt     ";"BU04820303";"1";"     950";"       .";"    1617"
"170";"BU04820304";"Alblasserdam                            ";"Buurt     ";"BU04820304";"1";"     760";"       .";"    1905"
"171";"BU04820305";"Alblasserdam                            ";"Buurt     ";"BU04820305";"1";"     905";"       .";"    2019"
"172";"BU04820306";"Alblasserdam                            ";"Buurt     ";"BU04820306";"1";"    1605";"       .";"    2138"
"173";"BU04820307";"Alblasserdam                            ";"Buurt     ";"BU04820307";"1";"    1680";"       .";"    1815"
"174";"WK048204  ";"Alblasserdam                            ";"Wijk      ";"WK048204  ";"1";"    3795";"       .";"    1612"
"175";"BU04820401";"Alblasserdam                            ";"Buurt     ";"BU04820401";"1";"    1275";"       .";"    1546"
"176";"BU04820402";"Alblasserdam                            ";"Buurt     ";"BU04820402";"1";"    1570";"       .";"    1626"
"177";"BU04820403";"Alblasserdam                            ";"Buurt     ";"BU04820403";"1";"     445";"       .";"    1069"
"178";"BU04820404";"Alblasserdam                            ";"Buurt     ";"BU04820404";"1";"     510";"       .";"    2030"
"179";"WK048205  ";"Alblasserdam                            ";"Wijk      ";"WK048205  ";"1";"     120";"       .";"     619"
"180";"BU04820501";"Alblasserdam                            ";"Buurt     ";"BU04820501";"1";"     105";"       .";"     713"
"181";"BU04820502";"Alblasserdam                            ";"Buurt     ";"BU04820502";"1";"       0";"       .";"     384"
"182";"BU04820503";"Alblasserdam                            ";"Buurt     ";"BU04820503";"1";"      20";"       .";"     576"
"183";"WK048206  ";"Alblasserdam                            ";"Wijk      ";"WK048206  ";"1";"     215";"       .";"     448"
"184";"BU04820601";"Alblasserdam                            ";"Buurt     ";"BU04820601";"1";"       5";"       .";"     694"
"185";"BU04820602";"Alblasserdam                            ";"Buurt     ";"BU04820602";"1";"      50";"       .";"     567"
"186";"BU04820603";"Alblasserdam                            ";"Buurt     ";"BU04820603";"1";"      30";"       .";"     503"
"187";"BU04820604";"Alblasserdam                            ";"Buurt     ";"BU04820604";"1";"     135";"       .";"     344"
"188";"GM0613    ";"Albrandswaard                           ";"Gemeente  ";"GM0613    ";"1";"   26707";"       .";"    1057"
"189";"WK061301  ";"Albrandswaard                           ";"Wijk      ";"WK061301  ";"1";"    2665";"       .";"     971"
"190";"BU06130101";"Albrandswaard                           ";"Buurt     ";"BU06130101";"1";"    2400";"       .";"     983"
"191";"BU06130102";"Albrandswaard                           ";"Buurt     ";"BU06130102";"1";"     100";"       .";"    1227"
"192";"BU06130103";"Albrandswaard                           ";"Buurt     ";"BU06130103";"1";"      50";"       .";"     847"
"193";"BU06130104";"Albrandswaard                           ";"Buurt     ";"BU06130104";"1";"     115";"       .";"     359"
"194";"WK061302  ";"Albrandswaard                           ";"Wijk      ";"WK061302  ";"1";"    2040";"       .";"     891"
"195";"BU06130205";"Albrandswaard                           ";"Buurt     ";"BU06130205";"1";"    2010";"       .";"     906"
"196";"BU06130207";"Albrandswaard                           ";"Buurt     ";"BU06130207";"1";"      30";"       .";"     232"
"197";"WK061303  ";"Albrandswaard                           ";"Wijk      ";"WK061303  ";"1";"    7050";"       .";"    1146"
"198";"BU06130308";"Albrandswaard                           ";"Buurt     ";"BU06130308";"1";"     960";"       .";"    1225"
"199";"BU06130309";"Albrandswaard                           ";"Buurt     ";"BU06130309";"1";"    1870";"       .";"    1365"
"200";"BU06130310";"Albrandswaard                           ";"Buurt     ";"BU06130310";"1";"    1065";"       .";"    1248"
"201";"BU06130311";"Albrandswaard                           ";"Buurt     ";"BU06130311";"1";"    2360";"       .";"     944"
"202";"BU06130312";"Albrandswaard                           ";"Buurt     ";"BU06130312";"1";"     705";"       .";"     759"
"203";"BU06130313";"Albrandswaard                           ";"Buurt     ";"BU06130313";"1";"     100";"       .";"     700"
"204";"WK061304  ";"Albrandswaard                           ";"Wijk      ";"WK061304  ";"1";"    7245";"       .";"    1033"
"205";"BU06130414";"Albrandswaard                           ";"Buurt     ";"BU06130414";"1";"    1545";"       .";"    1236"
"206";"BU06130415";"Albrandswaard                           ";"Buurt     ";"BU06130415";"1";"    1320";"       .";"    1082"
"207";"BU06130416";"Albrandswaard                           ";"Buurt     ";"BU06130416";"1";"     195";"       .";"     588"
"208";"BU06130417";"Albrandswaard                           ";"Buurt     ";"BU06130417";"1";"     950";"       .";"    1136"
"209";"BU06130418";"Albrandswaard                           ";"Buurt     ";"BU06130418";"1";"    1890";"       .";"     835"
"210";"BU06130419";"Albrandswaard                           ";"Buurt     ";"BU06130419";"1";"    1200";"       .";"    1003"
"211";"BU06130420";"Albrandswaard                           ";"Buurt     ";"BU06130420";"1";"     145";"       .";"     280"
"212";"WK061305  ";"Albrandswaard                           ";"Wijk      ";"WK061305  ";"1";"     245";"       .";"     797"
"213";"BU06130521";"Albrandswaard                           ";"Buurt     ";"BU06130521";"1";"      10";"       .";"    1110"
"214";"BU06130522";"Albrandswaard                           ";"Buurt     ";"BU06130522";"1";"     235";"       .";"     469"
"215";"WK061306  ";"Albrandswaard                           ";"Wijk      ";"WK061306  ";"1";"    7465";"       .";"    1121"
"216";"BU06130623";"Albrandswaard                           ";"Buurt     ";"BU06130623";"1";"    2375";"       .";"     966"
"217";"BU06130624";"Albrandswaard                           ";"Buurt     ";"BU06130624";"1";"    1645";"       .";"     989"
"218";"BU06130625";"Albrandswaard                           ";"Buurt     ";"BU06130625";"1";"     135";"       .";"    1324"
"219";"BU06130626";"Albrandswaard                           ";"Buurt     ";"BU06130626";"1";"    3310";"       .";"    1266"
"220";"WK061307  ";"Albrandswaard                           ";"Wijk      ";"WK061307  ";"1";"       0";"       .";"     159"
"221";"BU06130706";"Albrandswaard                           ";"Buurt     ";"BU06130706";"1";"       0";"       .";"     159"
"222";"GM0361    ";"Alkmaar                                 ";"Gemeente  ";"GM0361    ";"1";"  112896";"       .";"    2381"
"223";"WK036101  ";"Alkmaar                                 ";"Wijk      ";"WK036101  ";"1";"   14615";"       .";"    3377"
"224";"BU03610100";"Alkmaar                                 ";"Buurt     ";"BU03610100";"1";"    2345";"       .";"    2478"
"225";"BU03610101";"Alkmaar                                 ";"Buurt     ";"BU03610101";"1";"    1340";"       .";"    3188"
"226";"BU03610102";"Alkmaar                                 ";"Buurt     ";"BU03610102";"1";"    2060";"       .";"    4342"
"227";"BU03610103";"Alkmaar                                 ";"Buurt     ";"BU03610103";"1";"     760";"       .";"    3801"
"228";"BU03610104";"Alkmaar                                 ";"Buurt     ";"BU03610104";"1";"    1660";"       .";"    4257"
"229";"BU03610105";"Alkmaar                                 ";"Buurt     ";"BU03610105";"1";"    1570";"       .";"    4154"
"230";"BU03610106";"Alkmaar                                 ";"Buurt     ";"BU03610106";"1";"    1235";"       .";"    2150"
"231";"BU03610107";"Alkmaar                                 ";"Buurt     ";"BU03610107";"1";"     550";"       .";"    2972"
"232";"BU03610108";"Alkmaar                                 ";"Buurt     ";"BU03610108";"1";"    1510";"       .";"    3489"
"233";"BU03610109";"Alkmaar                                 ";"Buurt     ";"BU03610109";"1";"    1585";"       .";"    2478"
"234";"WK036102  ";"Alkmaar                                 ";"Wijk      ";"WK036102  ";"1";"   13720";"       .";"    2205"
"235";"BU03610200";"Alkmaar                                 ";"Buurt     ";"BU03610200";"1";"    2155";"       .";"    3576"
"236";"BU03610201";"Alkmaar                                 ";"Buurt     ";"BU03610201";"1";"    2285";"       .";"    1093"
"237";"BU03610202";"Alkmaar                                 ";"Buurt     ";"BU03610202";"1";"    1955";"       .";"    1493"
"238";"BU03610203";"Alkmaar                                 ";"Buurt     ";"BU03610203";"1";"    1870";"       .";"    2907"
"239";"BU03610204";"Alkmaar                                 ";"Buurt     ";"BU03610204";"1";"    2175";"       .";"    2937"
"240";"BU03610205";"Alkmaar                                 ";"Buurt     ";"BU03610205";"1";"     560";"       .";"    3027"
"241";"BU03610206";"Alkmaar                                 ";"Buurt     ";"BU03610206";"1";"    1100";"       .";"    2058"
"242";"BU03610208";"Alkmaar                                 ";"Buurt     ";"BU03610208";"1";"    1555";"       .";"    1169"
"243";"BU03610209";"Alkmaar                                 ";"Buurt     ";"BU03610209";"1";"      55";"       .";"     872"
"244";"WK036103  ";"Alkmaar                                 ";"Wijk      ";"WK036103  ";"1";"    8235";"       .";"    2398"
"245";"BU03610300";"Alkmaar                                 ";"Buurt     ";"BU03610300";"1";"    2810";"       .";"    3095"
"246";"BU03610301";"Alkmaar                                 ";"Buurt     ";"BU03610301";"1";"     945";"       .";"    2388"
"247";"BU03610302";"Alkmaar                                 ";"Buurt     ";"BU03610302";"1";"    3250";"       .";"    2201"
"248";"BU03610303";"Alkmaar                                 ";"Buurt     ";"BU03610303";"1";"    1215";"       .";"    2352"
"249";"BU03610308";"Alkmaar                                 ";"Buurt     ";"BU03610308";"1";"       0";"       .";"     235"
"250";"BU03610309";"Alkmaar                                 ";"Buurt     ";"BU03610309";"1";"      15";"       .";"     905"
"251";"WK036104  ";"Alkmaar                                 ";"Wijk      ";"WK036104  ";"1";"   12900";"       .";"    2124"
"252";"BU03610400";"Alkmaar                                 ";"Buurt     ";"BU03610400";"1";"    3620";"       .";"    1833"
"253";"BU03610401";"Alkmaar                                 ";"Buurt     ";"BU03610401";"1";"    3325";"       .";"    2536"
"254";"BU03610402";"Alkmaar                                 ";"Buurt     ";"BU03610402";"1";"    1560";"       .";"    2586"
